명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
신호공원,,,,부산 강서구 신호동 315-1,35.0819137723,128.8707796382,갯벌 체험으로 유명한 근린공원으로 부산시 강서구에 있다. 바다갈맷길 주변으로 울창한 소나무 숲을 이루고 있어 산책과 쉬어가기에 좋은 공원들이 끝이 보이질 않도록 넓게 조성되어 있다. 물이 빠지면 갯벌 체험도 할 수 있는 곳으로 유명하다. 옆에는 공원과 산책길도 있어 가족들과 함께 야외 활동을 즐기기 좋다. 공원 주변으로 어린이들이 신나게 놀 수 있도록 물놀이터가 있다.,051-970-4522,,,,없음,,,,있음(약 40여 대),,없음,가능,,"주차요금:없음

이용가능시설:운동기구, 축구장, 야외공연장, 쉼터
		

입 장 료:없음		

화장실:있음(남, 녀 구분)

",,,,,,,
연태봉,,,,부산광역시 강서구 천성동 산 6-98,35.0305993811,128.8329509833,"부산광역시 강서구 천성동 가덕도에 있는 산이다. 높이는 459.4m로, 정상에 오르면 남해의 섬들과 거제 해금강이 한눈에 내려다보인다. 부산광역시에서 가깝고 천천히 오르더라도 4시간 정도면 종주할 수 있어 가족이 함께 산행하기에 적당하다. 천성 선착장에서 내려 오른쪽으로 해안도로를 따라가면 산행 안내도 간판이 나온다. 간판을 따라 산행로를 10여 분 올라 임도를 거쳐 왼쪽으로 오르면 산불감시초소가 있다. 그곳에서 가파른 산길을 올라 낙타 등 바위를 지나면 봉화대가 있는 정상이 나온다.",051-970-4444,,,상시개방,없음,,,,약 60대,,없음,가능,,"개방 구간: 상시

야간산행 제한안내:야간산행금지		

등산로:4개 구간

입 장 료:없음		

주차요금:없음

이용가능시설:주차장, 화장실, 쉼터
화장실:있음(남, 녀 구분)

",,,,,,,
온천천시민공원,47560.0,,,부산광역시 연제구 연산동 2058-6(연산동),35.1925249557,129.0951265407,"연제구 연산동의 황폐화된 온천천을 자연에 가까운 하천으로 정비하고, 시민들의 정서 함양에 기여하고자 1997년부터 2005년까지 자연형 하천 조성 사업을 벌여 온천천 시민 공원이 들어서게 되었다. 식물 경관 조성, 조명·벤치, 체력 단련 시설 등을 조성하였다. 공원은 자연형 친수 공간·자연 학습장 구간·문화 체육 시설 구간의 3개 구간으로 구분하여 특성화하고 온천천을 유역 주민들에게 제2의 생활공간으로 제공하고 있다. 온천천 시민 공원은 2005년에 정식으로 개장하였으며, 지속적으로 개·보수를 하여 현재에 이르고 있다.",051-554-8411 /  051-665-4000,,,상시개방,없음,,,,없음,,없음,가능,,"입 장 료:없음		

화장실:있음(남녀구분)

",,,,,,,
보람공원,46757.0,,,부산광역시 강서구 녹산산단262로14번길 20(송정동),35.0881459047,128.8432429784,"부산 강서구 명지동에 있는 공원으로 봄에는 벚꽃이 흐드러진 멋진 풍경을 연출하는 곳이다. 부산 지역의 숨은 벚꽃놀이 명소다. 운동기구뿐 아니라 쉴 수 있는 벤치, 풋살장과 농구장이 있다. 공원 안에는 보람정이라는 정자도 있어 어르신들이 쉬기에도 좋은 공원이다. ""외국인 근로자와 함께하는 Global park 정비사업""으로 만들어진 풋살장은 누구나 이용할 수 있지만, 녹산산단 내 외국인 근로자의 체육 등 여가 활동과 지역 사회 조기 정착 지원을 목적으로 세워져 외국인 근로자를 우선 배려하는 공원이기도 하다.",051-970-4531~5,,,상시개방,없음,,,,있음(약 25대),,없음,가능,,"이용가능시설:운동기구, 풋살장, 농구장, 보람정, 쉼터, 주차장, 화장실
		

화장실:있음(남, 녀 구분)

입 장 료:없음		

",,,,,,,
명지동근린공원,46763.0,,,부산광역시 강서구 명지오션시티10로 95(명지동),35.0870333005,128.9066569316,"명지동 근린공원은 명지오션시티에 있는 도심 공원이다. 인근에는 주차장, 축구장, 잔디광장, 운동기구 등이 있으며 어린이들이 가족과 놀기 좋은 유아숲 체험원도 있다. 유아숲 체험원에는 어린이들이 자연 놀이를 할 수 있는 여러 가지 체험 시설이 있다. 여름이면 물놀이를 즐길 수 있는 시설을 운영하기도 한다. 공원의 맞은편에 강서 기적의 도서관이 있고 주차장이 넓어 편리하게 이용할 수 있다.",051-970-4531~5,,,상시개방,없음,,,,있음(맞은편 공영주차장 약 350여 대),,없음,가능,,"이용가능시설:운동기구, 축구장, 유아숲체험원, 물놀이장, 쉼터, 주차장, 화장실
		

입 장 료:없음		

화장실:있음(남, 녀 구분)

",,,,,,,
밀락더마켓,48281.0,부산광역시 수영구 민락수변로17번길 56,,부산광역시 수영구 민락수변로17번길 56,35.1542603874,129.1270664784,"부산 수영구에 위치한 밀락더마켓은 키친보이에서 운영하는 복합문화공간이다.
들어서서 보이는 벽면의 그래피티들이 인상적인 포토존 형성하고 있다.
차별화된 열린 광장형의 체험공간을 지향하는 이곳은 로컬과 문화를 연결하는 새로운 라이프스타일의 공간이며, 
누구나 주인공이 될 수 있는 꿈의 무대 '버스킹스퀘어'와 부산바다를 느낄 수 있는 '오션뷰스탠드', 수준높은 국내외 외식브랜드를 경험할 수 있는 'F&B ZONE'등으로 공간이 구성되어있다.",051-752-5671,,,10:00-24:00,,,,,,,,,,":
:
주차요금:최소 1시간 4,000원/ 추가 30분 2,000원 <br>
밀락더마켓 이용고객 1시간 무료주차 가능, 최대 2시간
:
",,,,,,,
금용암(부산),47500.0,,,부산광역시 연제구 성지곡로 111(거제동),35.1916075512,129.049663856,"대한불교조계종 제14교구 본사인 범어사의 말사(末寺)이다. 조선 말기 철종 때 이곳에 점술가 여인이 초막을 짓고 공덕을 베풀며 살다가 불교에 귀의하여 이인덕행(李仁德行)이라는 보살명을 얻었으며, 1919년 10월 15일 해인사에 출가하여 비구니계를 수지하고 대봉(大鳳)이라는 법명을 받았다. 대봉은 이곳에 기와집으로 인법당 3칸을 짓고 금용암이라 불렀다. 당시 법당에 봉안하던 석조 지장보살좌상은 금박하여 지금도 염화전에 있다.

절 담벽 아래의 비탈길에 1939년 5월 20일 세워진 대봉의 상반신이 선각(線刻)된 사적비가 있다.금용은 '황금연꽃'을 뜻하며, 이름처럼 한여름을 전후하여 경내 곳곳에 피어나는 연꽃이 장관을 이룬다. 태백산맥의 끝자락인 쇠미산 허리 부분의 협소한 지역에 일부 축대를 쌓아 지었기 때문에 절터가 그다지 넓지는 않다. 내부는 승방(僧房)인 향적당(香積堂)과 음식을 준비하고 신도들의 식당으로 사용되는 원통료(圓通寮), 본당인 염화전(拈華殿), 칠성·산신·독성을 모시는 삼성각(三聖閣) 등으로 이루어져 있다.

금용암은 사직동과 초읍동 사이의 작은 암자이지만 성지곡 수원지 뒷산으로 오르는 등산로 한켠으로 속세의 흔적들을 멀리 떨쳐 버리듯 늘어선 300미터의 우거진 송림길은 사찰을 찾는 중생들의 세진(世塵)을 말끔히 씻어 정갈히 한다. 보이지 않는 일주문 격인 송림길을 조금 더 오르면 길 왼편으로 금용암 입구 무불선사의 탑비가 자리하고 있어 사찰의 초입에 다다랐음을 일러준다.

* 금용암이 유명해진 까닭은? *

예로부터 득남을 소원하는 이들의 기도처로 널리 알려진 이곳에는 여늬 사찰과는 달리 삼성각 내에 세사람의 여인을 그린 삼신제왕탱이 소중히 모셔져 있다. 실제로 이곳에서 기도하여 태어난 아기들이 초로의 모습으로 이곳을 찾는 일이 빈번하다 하니 참으로 소중한 인연으로 맺어진 도심사찰이 아닌가 싶다. 또한 삼신 할머니가 점지해 준 자손들이 이곳에서 기도를 올리면 그 후대에 이르기까지 불보살님들의 가피를 입는다 하여 인근 지역에까지 ‘자손이 번창하는 사찰’로 이름 높으니 그래서 금용암의 삼성각은 기도객들의 발길이 끊이질 않는다.",051-501-6300,,,일출 ~ 일몰,연중무휴,,,,주차 가능,,불가,가능,,"화장실:있음
외국어 안내서비스:불가
",,,,,,,
성암사(부산),48422.0,,,부산광역시 남구 진남로210번길 58-15(문현동),35.1456799238,129.0800957995,"* 도심속 마음의 안식처, 성암사 *<br /><br />부산의 중심, 금련산과 황령산의 연봉들이 북서쪽에 병풍처럼 둘러쳐져 있고 그 큰 줄기 하나가 뻗쳐 나온 자리에 성암사는 앉았다. 거북이가 알을 낳고 있는 형국이라 부귀와 재물을 상징한다지만 아이러니하게도 이곳은 오래전부터 사찰 터였다. 연제구 금련산에 위치한 마하사와 더불어 부산지역 최고의 명당터 가운데 하나로 꼽는 이도 있으니 풍수지리적로 볼 때 성암사는 분명 발복(發福)터 임에 분명하다. 실제로 성암사 뒷산에 가보면 머리와 등 부분이 거북이 모습을 한 바위를 볼 수 있는데 거북이가 알을 낳는 자리의 기운 때문인지는 몰라도 옛날부터 삼성전과 용왕당에서 기도를 드리면 자손을 얻는다는 전설이 전해지고 있다.<br /><br />뿐만 아니라 역대로 성암사 신도 가운데 사법시험을 비롯한 각종 국가고시에 합격한 사람이 많이 배출되었다고 하니 거북바위의 전설이 그냥 스쳐 지나가는 이야기가 아님을 입증해 주고 있다. 구전에 의하면 성암사는 고려말 창건된 고찰이다. 장차13개의 암자를 거느리는 대 가람으로 발전할 것이라는 전설이 내려오는 성암사는 현재 초하루법회, 인등재일법회, 지장재일법회는 물론 도심속 사찰로 면모를 일신해 일상에 지친 중생들에게 마음의 안식처로 그 역할을 톡톡히 하고 있을 뿐 아니라 경남불교대학을 설립해 수많은 불자들에게 불법의 정수를 전하고 있다.<br /><br />* 성암사의 유래와 걸어온 길 *<br /><br />1910년 어느 날, 아주 상서러운 현몽을 한 어느 보살이 다음날 자연스레 금정산으로 발걸음을 옮기게 되었다. 스님은 그곳에서 칡덩쿨 아래에 묻혀있던 나반존자상을 발견하고는 그 상을 등에 업고 하루종일 발길이 닿는대로 걸어 다녔다고 한다. 발길이 머무르는 곳이 이 나반존자상의 인연처라 굳게 믿은 스님이 문득 걸음을 멈춘 곳이 바로 지금의 성암사 터다. 산세와 땅의 기운이 예사롭지 않은 것을 감지한 보살이 비구스님의 도움으로 이곳에 나반존자를 봉안하고 스러져간 당우를 다시 세우니, 오늘의 성암사는 그로부터 중창의 역사를 다시 쓰게 됐다. <br>",051-635-3744,,,,,,,,있음,,불가,불가,,,,,,,,,
묘심사(부산),48714.0,,,부산광역시 동구 망양로 671(수정동),35.126761849,129.0395054026,"묘심사는 부산항이 훤히 내려다 보이는 동구 수정동 산복도로변에 위치한다. 묘심사 뒷산인 수정산 정상으로 동구와 부산진구의 경계를 이루며 서쪽으로는 엄광산과 접해 있고 남으로는 구봉산으로 이어진다. 부산일보 본사와 경남여고, 부산고등학교 등 이름난 명문학교가 산복도로 아래 큰 도로변에 위치하고 있고 그 길 건너 부산진역이 자리하고 있다. 마을 중심을 가로 지르는 수정동 산복도로에 서면 부산 앞바다가 한눈에 보이고 가까이엔 충혼탑이 있는 대청공원이 자리잡고 있다. 이곳에 오르면 비로소 부산이 한 눈에 보인다. 부산을 찾는 관광객들이 부산항 일대를 내려다 보기 위해 흔히들 용두산 공원 타워를 찾지만 그 높은 용두산 타워마저 한눈에 내려다 보이는 곳이 있다.
부산항을 시야에 가득 담아낸 후 바다로부터 눈을 돌려 산 쪽을 바라보면 사람 사는 집들이 성냥곽 마냥 오밀조밀 연대를 이룬 광경을 보게 되는데 이곳이 바로 산 많고 사람 많은 부산의 대표적인 산동네 동구 수정동이다. 여타지역과 달리 산복도로 주거문화가 발달한 부산에서도 수정동 산복도로 주변은 서민생활의 전형을 보여주는 곳으로 자자하니 그 서민들의 삶과 함께 해온 묘심사의 역사도 그리 넉넉하지 만은 않은 듯하다. 묘심사는 일본의 침략으로 국권을 상실한 1910년 국권침탈 이후 개창된 탓에 오랜 세월 일본 스님에 의해 사격이 운영 유지되다가 해방 이후 우여곡절 끝에 한 기독교인에 팔리는 비극을 맞게 됐다. 이를 보다 못한 몇몇 신도들에 의해 묘심사의 성보가 대성사 즉 현재의 묘심사로 옮겨지게 된 것이 1960년대 무렵이었으니 절명의 순간을 슬기롭게 대처한 신도들의 혜안이 돋보이는 대목이라 하겠다.
당시 신도들은 서구 토성동에 있던 절에서 관음보살좌상과 지장보살좌상, 그리고 범종과 종각 등 많은 성보를 가지고 왔는데 이렇게 묘심사가 그 맥을 온전히 유지할 수 있었던 것은 순전히 부처님 도량을 지키고자 한 신도들의 큰 원력 때문이었다고 할 수 있다. 경전에서 이르기를 부처님 도량과 불법을 수호하고 불상을 조성한 이들의 공덕은 수미산보다도 높다고 했다. 또한, 헤아릴 수 없는 복을 누리고 그 이름 온 세상에 두루 퍼져 성불을 이루리라 했으니 대성사와 묘심사 이 두 사찰의 운명을 이어간 공덕을 말로써 어찌 다 표현할 수가 있을까 싶다.

* 묘심사의 유래 *
묘심사는 1888년 창건되었으나 묘심사가 아닌 대성사란 사명으로 불렸다. 원래 대처승 사찰이었으나 1960년대 어느날 묘심사란 사명으로 재창건 된 이후 오늘에 이른다. 묘심사는 원래 이곳이 아닌 서구 토성동에 있던 사찰로서 1912년 임제종 포교당으로 개창된 사찰이다. 전해오는 문헌에 따라 현재의 보수동, 부민동, 초량 등으로 그 위치를 옮기고 있음이 보이지만 토성동이 마지막 정착지임을 알 수 있다.<br>",051-467-2390,,,,연중무휴,,,,주차 가능,,없음,없음,,"화장실:있음
입 장 료:무료
",,,전연령,,,,
안적사(부산),46076.0,,,부산광역시 기장군 기장읍 내리길 461-16,35.2142766822,129.169888882,"부산광역시 기장군 기장읍에 있는 사찰로 대한불교조계종 제14교구 본사 범어사의 말사이다. 원효와 의상스님의 수행설화가 함께 전해져 내려온 안적사는 예부터 기장현의 4대 명찰로 기록되어 왔으며 신라의 원효대사가 창건하였다. 광복 이후까지 소실 또는 폐사되었다가 중창되어 현재에 이르고 있다. 경내에는 대웅전, 적멸보탑, 삼성각, 최근 건립한 불보적멸탑실상수신문(佛寶寂滅塔實相修信門) 등이 있다.
전국에서 수선납자(修禪衲子)들이 구름 모이듯 하여 남방수선제일도량(南方修禪第一道場)으로 그 이름을 떨쳐온 안적사는 전시에는 호국도량으로, 평상시엔 선지식을 키워내는 정진도량으로서의 역할을 오랜 세월 일구어 내 왔다. 그러나 기장에서 가장 오래된 이렇게 유서깊은 안적사도 신흥 관광사찰에 현혹된 불자들이 집중화로 점차 쇠락해 가고 잊혀져 갈 뿐이다.변방의 바닷가 마을의 작은 사찰이라고들 하지만 조사스님들이 창건설화나 그간 안적사를 거쳐간 큰 스님들의 행적을 되짚어 볼 때 그 사격이 영원히 빛을 발할 것으로 확신한다. 예전 노장스님네들은 그랬다고 한다.
절에 사람들이 많이 찾아들면 절이 절답지 못하게 된다고. 역시 절은 절 다워야 하고 수행자가 사는 곳다워야 한다는 말씀이다. 재작년 열반하신 남곡당 덕명 대종사의 지론도 그러했다고 한다. 그것은 아무래도 숭유억불이라는 탄압에 가까운 조선왕조를 관통해 오면서 스님들의 마음 속 깊이 자리한 일종의 응어리가 아닐까. 근 5백년동안 절 살림을 착취 당해오던 스님들의 그러한 의식은 어쩌면 당연한 일일지도 모르겠다.그럼에도 덕명스님은 안적사에 근 30여년을 주석하면서 사찰을 다시한번 일으켰다.
안적사는 그래서 발목을 잡아 매어두는 묘한 매력이 있는 절이다. 해방 후 소실되었던 안적사는 이곳에 30년간 주석한 덕명스님의 원력으로 다시 대가람을 이루었다. 더우기 절을 절답게 하는 가장 중요한 요소인 수행력이 시퍼렇게 살아있는 전통도량으로서 안적사는 이제 새로운 역사를 시작했다.",051-543-9408,,,00:00~24:00,연중개방,,,,주차 가능,,불가,불가,,"화장실:있음
입 장 료:무료
외국어 안내서비스:불가
",,,전연령,,,,
약수암(부산),46938.0,,,부산광역시 사상구 백양대로804번길 42-57 약수암,35.1782275148,128.9965271813,"* 샘물과 같은 휴식을 주는 사찰, 약수암 *<br /><br />약수암은 부산광역시 사상구 백양산 자락에 자리한 대한불교법화종 소속 사찰이다. 청정한 약수에 부처님 영험 담은 백양산(白楊山) 약수암(藥水庵) 우리네 사찰들은 수많은 오랜 세월 깊은 수림이나 산중턱에 기거해 오면서 자연을 거스르지 않고 이를 최대한 이용해온 지혜를 터득해 왔다. 그렇기 때문에 수 천년이 흘러도 부처님의 법이 끊어지지 않고 한국의 전통적인 정신문화유산으로 전승되어왔다.그 중 불자이거나 불자가 아니거나 간에 누구든 산사에 찾아들면 꼭 감로수로 목을 축이고는 한다. 이는 사찰이 자연을 이용함과 동시에 누구에게나 개방된 공간임을 보여주는 좋은 실례이다. 약수라 불리는 감로수가 있다는 것은 그 사찰이 이미 좋은 터에 가람을 세웠음을 말해주고 있다. 언제나 사시사철 솟아나는 샘물 덕분에 사찰은 목마르지 않고 오랜 세월 산 중에서 견뎌 온 것이다.부산 사상구 약수암(藥水庵)은 사명에서 보듯 약수와 깊은 연관성을 가지고 태어난 사찰임이 분명하다. 이미 효험을 본 사람들과 현재 효험을 보고 있는 사람들의 얘기를 들어보면 이 곳 약수는 오래 전부터 사랑 받아왔고 많은 이들이 즐겨 찾는 숨은 명소이다. 관내 구청에서 그 효험을 인정하고 수질 검사를 꼼꼼하게 실시한다고 한다.<br /><br />* 약수암의 석불 두 기 *<br /><br />1980년대에 창건했다고 알려진 약수암은 절에서 전해 내려오는 두 분의 영험한 석불이 있는데 석고지장보살좌상과 석조여래좌상이 그것이다. 세월의 흔적으로 인해 마모가 있으나 이 두 불상은 사찰의 창건을 조사하는데 귀중한 자료가 될 뿐 아니라 우리 민중들과 함께 해온 못생겼지만 정감이 넘쳐나는 불상이다. 또 언제나 검정고무신만 신고서 평생 수행에만 일관하다 2005년 입적해 많은 이들의 표상이 됐던 청명(淸明)스님이 여기에서 55년간 주석하면서 사찰을 가꿔온 덕에 약수암은 약수 뿐 아니라 스님의 청정했던 삶으로도 알려진 사찰이다. 비록 사찰의 역사는 일천하지만 사람들을 끌어들이는 묘한 매력을 지닌 약수암은 지금도 백양산 기슭의 청명한 햇살 속에 반짝이고 있다.<br>",051-303-7586,,,,연중무휴,,,,,,불가,불가,,"화장실:있음
",,,,,,,
운수사(부산),46933.0,,,부산광역시 사상구 모라로219번길 173(모라동),35.183582782,129.0134338969,"* 문화사업에 앞장서고 있는 운수사 *<br /><br />운수사는 부산광역시 사상구 백양산에 자리한 대한불교조계종 제14교구 본사 범어사의 말사이다. 운수사는 금정산의 일맥이 서쪽으로 내뻗쳐서 큰 봉우리를 만들어 산세 수려한 영험하고 신령한 길지에 자리 잡고 있는 천년고찰이다.전해 내려오는 말에 의하면 가야국 때 창건하였다고는 하나 이를 뒷받침 해줄 만한 사료나 유적이 남아있지 않고 몇몇 지도서 등에 나오는 정황으로 미루어 범어사, 선암사 등과 동시대에 창건되었으리라 추정되고 있다.<br /><br />범어사가 문무왕 18년(678년) 의상조사에 의해 창건되었으니 운수사 역시 천삼백년의 역사를 가진 유서 깊은 고찰이라 할 수 있겠다.산이 높고 물이 깊어 ‘운수사’라는 사명이 지어졌는지는 모를 일이나 창건이래 여러 사람들의 수행처로 기도처로 자리매김하였고 최근에는 부산시민들의 정신적 의지처로 사명을 널리 드날리고 있다.세월이 흘러 오늘날 수많은 등산객과 참배객들이 줄을 잇고 있으니 운수모종에 버금가는 마음의 안식이 바로, 더불어 사는 마음임을 일찍이 깨달은 운수사 사부대중들의 선경지명이 있었기에 가능한 일임을 알 수 있다.<br /><br /> * 운수사의 아름다운 인연 *<br /><br />어려운 이웃들과 ‘아름다운 인연’을 만들기 위한 각종 후원회를 설립, 사부대중 모두가 사회의 그늘진 곳을 향해 따뜻한 정을 나누고 있다. 예로부터 사상지역에서는 사상팔경(沙上八景)의 하나로 운수모종(雲水暮鐘)을 꼽아 왔다. 이는 운수사에서 들려오는 저녁 종소리가 이곳 사람들에게 마음의 안식을 베풀어 주었음을 미루어 짐작할 수 있을 뿐 아니라 빼어난 경치로 인해 많은 사람들이 찾았음을 시사해 주고 있다.특히, 동체대비 사상의 실현을 위해 화명종합사회복지관을 건립하여 각종 복지, 문화사업에 앞장서고 있을 뿐 아니라 신도들의 교육과 자질을 높이기 위해 불교대학을 건립, 함께 배우고 함께 실천하는 불교 대중화 운동에도 심혈을 기울이고 있다.<br>",051-313-3300,,,,연중무휴,,,,주차 가능,,불가,불가,,,,,,,,템플스테이,
연등사(부산),48771.0,,,부산광역시 동구 좌천동로 17-3(좌천동),35.1330863176,129.0491127274,"* 연꽃과 연등이 떠오르는 사찰, 연등사 *<br /><br />연등사가 위치한 부산 동구 좌천동은 수정동 산복도로 바로 아래 위치한 동네로 큰 도로변에서는 얼마 멀지 않은 곳이지만 산지지형에 지어진 탓에 제법 경사진 비탈에 속한다. 지하철 1호선 부산진역 맞은 편에서 봉생병원 뒤쪽으로 나 있는 도로를 따라 오르다 금성중 고등학교 쪽을 향한 삼거리 바로 오른쪽에 위치한다. 또한, 부두(부산항)와 백양터널을 잇는 수정터널이 지나가는 지역이기도 하다. 무명을 밝혀 지혜를 얻는 곳, 팔금산 연등사(八金山 燃燈寺) 가야산에서 발한 물줄기가 지금의 부산 수정동 중심부를 흘러 바다로 들어가는 작은 개천인 좌천(佐川). 이 좌천을 중심으로 오래전 사람들이 모여살다 마을이 된 동구 좌천동 주택가 한가운데 연등사 도량이 연꽃처럼 펼쳐져 있다.불가에서는 무명을 밝혀 지혜를 얻는 상징으로 ‘연등’을 많이 쓰고 있지만 이처럼 사명에 ‘연등’을 밝히고 있는 예는 드문 경우라 그 옛날부터 불법의 수승한 가치를 높여든 불심이 깊이 찾아든 곳임을 추측할 수 있다. 그러나 안타깝게도 언제 창건되어 어떻게 유지되어 왔는지 전하여지는 기록이나 문헌을 찾을 길이 없다.<br /><br />다만 1860년대 무렵 이 자리가 팔금산의 정기가 고루 맺힌 곳이라 하여 한 스님이 초암을 짓고 포교에 나선 것에서 비롯되었다고 하는 이야기가 동네 어른들의 입을 통해 전하여지는 정도이다.연등사가 위치한 좌천동은 산복도로 아래 주택 밀집지역으로 부산항의 넘실거리는 푸른파도를 딛고 뒤로 수정산이라고 불리기도 하는 팔금산의 산세를 병풍삼아 자리한 동네이다. 연등사는 꺼지지 않는 연등의 불빛마냥 이 지역 주민들의 가슴에 밝은 희망의 빛으로 남아 있는 도심포교의 제1도량이 되기 위해 오늘 이 자리에 있다.<br /><br />* 연등사 석가영산회상도에 관하여 *<br /><br />연등사 대웅전에 보관되어 있는 석가영산회상도이다. 그림 가운데에는 석가여래가 연화좌 위에 설법인(說法印)을 한 채 결가부좌하고 있으며 머리에는 육계가 비교적 높이 솟아 있다. 이마 가운데에는 눈에 띄는 백호(白毫)가 있고 옷은 변형통견이다. 두광(頭光)은 녹색이고 신광(身光)은 금박이며 가장자리에 색 띠가 있다. 석가여래의 양옆에는 6대 보살과 사천왕이 있다. 보살은 녹색의 원형 두광을 갖춘 채 지물을 들고 장식이 많은 보관을 쓰고 있다. 6대 보살의 양옆에는 비파를 든 동방지국천왕, 긴 칼을 든 남방증장천왕, 용과 여의보주를 쥔 서방광목천왕, 보탑과 보차를 든 북방다문천왕 등 사천왕이 여래를 향해 서 있으며 화려한 갑옷과 천의를 입고 있다. 석가여래의 두광 양옆에는 아난존자와 가섭존자를 포함한 5위의 제자, 그리고 재관형 도상 11위가 배치되어 있다. 1924년 화승 완호낙현(玩虎洛現)이 제작에 참여하였다.",051-632-0546,,,,연중무휴,,,,주차 가능,,불가,없음,,"화장실:있음
",,,,,,,
월명사(부산),46048.0,,,부산광역시 기장군 일광면 참샘길 124,35.269243617,129.2167499529,"* 아기자기함과 소탈함이 묻어나는, 월명사 *<br /><br />월명사는 부산 기장군 일광면 일광산 자락에 위치해 있다. 들머리는 부산~울산간 국도변에서 한센병 환자 공동체마을인 ‘삼덕마을' 로부터 시작된다. 부산에서 14번 국도(울산 방면)를 따라 반송동을 거쳐 기장, 일광면으로 접어 들어도 되고 부산 도심을 통과한 후 경치 좋은 해운대를 거쳐 송정, 기장, 일광면으로 향해도 좋다. 일광 바다 바로 뒷편, 병풍처럼 버티고 앉은 일광산(日光山)은 해 떨어지는 낙조가 특히 아름답다 하여 일광팔경 가운데 하나인 일광낙조(日光落照)로 이름난 곳이다.차량 경적에 사람소리까지 시끄러운 기장 도심을 벗어나 15분이면 하늘 향해 쭉쭉 뻗은 나무들과 연초록 잎들이 사방에서 에워싸는 일광산에 다다른다. 나즈막한 산세에 골골마다 넉넉한 자연을 품은 일광산은 이렇듯 도시와 등을 맞대고도 시원한 원시의 자연을 그대로 간직하고 있는 흔치않은 도심 근교의 산이다. 도심변에서 평탄한 오솔길을 몇 구비 돌아나다 보면 어느새 깊은 산중으로 접어들 듯 인적은 끊어지고 수목은 울창해져 영락없는 산사의 적막감을 전해준다.<br /><br />바로 이곳, 일광산 자락에 자리한 월명사는 비록 넉넉한 사세는 갖추지 않았지만 경내 뜰 곳곳에서 아기자기하고 소탈한 면면들을 발견할 수 있는 그리 알려지지 않은 태고종 사찰이다. 전해오는 일설에 따르면 예로부터 불상을 모시고 치성을 드린 기도처였다고는 하나 현재로서는 1882년(고종19년) 범어사의 김법성 스님이 창건한 수행도량으로만 알려져 있을 뿐 이렇다 할 기록이나 추정할 만한 유물도 없다.경내 샘에서 솟아나는 오랜 효험의 약수가 인근 마을 사람들의 입을 통해 명약으로 알려져 있고, 월명사(月明寺)와 친분이 있는 불교미술 작가들이 이곳에서 작품활동을 하는 터라 경내 곳곳에서 나한상과 동자상들을 심심찮게 볼 수 있어 좋다. 일광산의 해와 월명사의 달이 어우러져 조화를 이룬 곳이라 자연의 흐름을 거스르지 않은 채 있는 그대로 앉아있는 월명사는 현재 신도는 많지 않으나 경내로부터 시작되는 가파르지도 험하지도 않은 호젓한 산책코스를 이용하는 등반객들의 쉼터로 이용되곤 한다.<br>",051-721-0123,,,,연중무휴,,,,주차 가능,,불가,없음,,,,,,,,,
